"","County of Residence","Members","Percent"
"1","Apache",5135,0.0489485825405601
"2","Coconino",13466,0.128362534078127
"3","Mohave",51150,0.487579356757478
"4","Navajo",17032,0.162354870074162
"5","Yavapai",18123,0.172754656549673
