"","sex","Age_Group","n"
"1","Female","00 - 16",15636
"2","Female","00 - 20",19318
"3","Female","16 - 38",19050
"4","Female","18 - 34",13948
"5","Female","20 - 41",17416
"6","Female","32 - 54",13893
"7","Female","41 - 63",12495
"8","Female","48 - 69",11038
"9","Female","50 - 73",10813
"10","Female","50 - 72",10813
"11","Female","62 - 86",4751
"12","Female","76 - 98",612
"13","Male","00 - 16",-16232
"14","Male","00 - 20",-19915
"15","Male","16 - 38",-15443
"16","Male","18 - 34",-11091
"17","Male","20 - 41",-13599
"18","Male","32 - 54",-11969
"19","Male","41 - 63",-11525
"20","Male","48 - 69",-10442
"21","Male","50 - 73",-10119
"22","Male","50 - 72",-10119
"23","Male","62 - 86",-4124
"24","Male","76 - 98",-367
